|Gl 842          |HIP 108569   |21 59 34.70|-59 45 10.1|2MASS J21593479-5945104| 6.613| 5.990| 5.757|
|Wo 9202         |HIP 28898    |06 06 03.51|-59 32 35.5|2MASS J06060351-5932353| 6.816| 6.373| 6.264|
|Gl 162.2        |HIP 19333    |04 08 35.72|-59 31 36.6|2MASS J04083572-5931366| 7.459| 6.932| 6.714|
|Gl 29           |HIP 3170     |00 40 25.67|-59 27 16.6|2MASS J00402566-5927168| 4.833| 4.672| 4.486|
|Wo 9242         |HIP 38179    |07 49 26.65|-59 22 51.0|2MASS J07492664-5922511| 6.273| 5.960| 5.841|
|Gl 542          |HIP 69972    |14 19 04.83|-59 22 44.5|2MASS J14190485-5922447| 4.976| 4.671| 4.332|
|Gl 167.3        |Wo 9153      |04 16 29.03|-59 18 07.8|2MASS J04162902-5918078| 2.374| 1.814| 1.745|
|Wo 9209 A       |HIP 29788    |06 16 18.79|-59 12 48.6|2MASS J06161877-5912483| 5.406| 5.176| 5.013|
|Gl 700 A        |HIP 88531    |18 04 42.60|-59 12 34.5|2MASS J18044259-5912344| 5.806| 5.523| 5.416|
|Wo 9209 B       |             |06 16 14.26|-59 12 27.6|2MASS J06161426-5912275|14.304|14.477|14.492|
|Gl 700 B        |             |18 04 41.07|-59 12 08.2|2MASS J18044108-5912081| 9.009| 8.336| 8.148|
|Gl 503 AB       |HIP 64583    |13 14 15.14|-59 06 11.6|2MASS J13141513-5906114| 3.936| 3.565| 3.611|
|Gl 333.1        |Wo 9283      |08 59 24.18|-59 05 01.4|2MASS J08592419-5905014| 4.747| 4.434| 4.487|
|Wo 9664 B       |HIP 96955 B  |19 42 33.50|-59 00 37.6|2MASS J19423338-5900360| 6.206| 5.890| 5.783|
|Wo 9664 A       |HIP 96955 A  |19 42 33.36|-59 00 35.6|2MASS J19423338-5900360| 6.206| 5.890| 5.783|
|Gl 175 A        |HIP 21756 A  |04 40 17.76|-58 56 38.1|2MASS J04401778-5856380| 5.520| 5.213| 5.113|
|Gl 175 B        |HIP 21756 B  |04 40 18.20|-58 56 38.1|2MASS J04401813-5856380| 5.520| 5.213| 5.113|
|Gl 10.1         |Wo 9005      |00 11 33.08|-58 54 35.4|2MASS J00113307-5854353| 7.186| 6.952| 6.855|
|Gl 404.1        |Wo 9339      |10 53 29.66|-58 51 11.4|2MASS J10532966-5851113| 2.125| 1.681| 1.581|
|Gl 580.1        |Wo 9516      |15 17 30.85|-58 48 04.4|2MASS J15173088-5848043| 3.928| 3.806| 3.875|
|GJ 2105         |             |14 03 33.62|-58 37 23.4|2MASS J14033362-5837233|12.486|11.958|11.823|
|Gl 238          |HIP 31300    |06 33 49.98|-58 31 42.5|2MASS J06334998-5831426| 7.898| 7.312| 7.030|
|Wo 9819         |HIP 115087   |23 18 36.67|-58 18 22.9|2MASS J23183665-5818228| 6.430| 6.084| 5.998|
|Gl 788.1        |Wo 9692      |20 22 41.95|-58 17 08.4|2MASS J20224191-5817083| 7.820| 7.183| 6.969|
|Gl 714          |             |18 30 12.00|-58 16 27.7|2MASS J18301200-5816274| 6.870| 6.240| 5.963|
|Wo 9818         |HIP 114996   |23 17 25.77|-58 14 08.6|2MASS J23172579-5814087| 3.316| 3.077| 3.043|
|GJ 1049         |HIP 12351 A  |02 39 01.18|-58 11 13.8|2MASS J02390117-5811138| 6.588| 5.943| 5.757|
